date,temperature_2m_min,temperature_2m_mean,temperature_2m_max,soil_temperature_100_to_255cm_min,soil_temperature_100_to_255cm_mean,soil_temperature_100_to_255cm_max,soil_moisture_100_to_255cm_min,soil_moisture_100_to_255cm_mean,soil_moisture_100_to_255cm_max,precipitation_min,precipitation_mean,precipitation_max
2001-12-30 00:00:00+00:00,-0.75,3.4324405,8.55,10.35,10.6598215,11.0,0.351,0.35167858,0.352,0.0,0.04107143,0.7
2002-01-06 00:00:00+00:00,-1.85,2.43125,6.05,9.6,9.972619,10.35,0.349,0.35017857,0.352,0.0,0.0011904762,0.1
2002-01-13 00:00:00+00:00,2.35,4.6752977,7.9,9.0,9.300298,9.6,0.35,0.3507381,0.351,0.0,0.021428572,0.7
2002-01-20 00:00:00+00:00,1.35,6.527976,11.2,8.6,8.808631,9.0,0.351,0.35152975,0.352,0.0,0.08630952,1.0
2002-01-27 00:00:00+00:00,1.4,8.187202,12.05,8.4,8.497322,8.6,0.352,0.35257143,0.353,0.0,0.12440476,1.2
2002-02-03 00:00:00+00:00,5.8,9.988393,12.2,8.35,8.357142,8.4,0.353,0.35444045,0.356,0.0,0.08392857,2.6
2002-02-10 00:00:00+00:00,2.35,8.194643,11.4,8.3,8.344941,8.35,0.356,0.35686308,0.358,0.0,0.08035714,1.5
2002-02-17 00:00:00+00:00,0.0,6.4607143,12.4,8.3,8.302977,8.35,0.358,0.3593631,0.36,0.0,0.01904762,0.6
2002-02-24 00:00:00+00:00,1.2,5.886607,11.15,8.1,8.202678,8.3,0.36,0.3613512,0.362,0.0,0.100595236,1.4
2002-03-03 00:00:00+00:00,0.75,5.766964,10.9,7.95,8.022917,8.1,0.362,0.36274403,0.364,0.0,0.0827381,1.2
2002-03-10 00:00:00+00:00,2.5,7.782143,11.55,7.8,7.8360124,7.9,0.364,0.3643988,0.365,0.0,0.0023809525,0.2
2002-03-17 00:00:00+00:00,3.55,7.1336308,11.1,7.7,7.741071,7.8,0.365,0.365,0.365,0.0,0.10595239,1.0
2002-03-24 00:00:00+00:00,4.35,8.317559,13.45,7.7,7.709821,7.75,0.365,0.36532143,0.366,0.0,0.0952381,1.9
2002-03-31 00:00:00+00:00,4.6,7.473214,11.95,7.75,7.75,7.75,0.366,0.366,0.366,0.0,0.008928572,0.3
2002-04-07 00:00:00+00:00,4.9,8.828869,12.45,7.75,7.799107,7.85,0.366,0.366,0.366,0.0,0.0005952381,0.1
2002-04-14 00:00:00+00:00,4.1,6.9145837,9.3,7.85,7.9104166,7.95,0.365,0.3653631,0.366,0.0,0.00952381,0.2
2002-04-21 00:00:00+00:00,3.3,8.383036,13.25,7.95,7.9604163,8.0,0.364,0.36492857,0.365,0.0,0.0077380957,0.5
2002-04-28 00:00:00+00:00,6.5,11.325892,17.0,8.0,8.099404,8.25,0.363,0.36397618,0.364,0.0,0.067857146,2.0
2002-05-05 00:00:00+00:00,5.85,8.990477,12.95,8.25,8.344643,8.45,0.363,0.363,0.363,0.0,0.116071425,1.9
2002-05-12 00:00:00+00:00,8.55,10.719643,14.65,8.45,8.539286,8.65,0.362,0.36204165,0.363,0.0,0.0077380957,0.2
2002-05-19 00:00:00+00:00,9.35,12.976488,16.2,8.65,8.796131,8.95,0.36,0.36087498,0.362,0.0,0.09345238,1.8
2002-05-26 00:00:00+00:00,9.8,13.270238,16.1,8.95,9.166965,9.35,0.359,0.359625,0.36,0.0,0.12440476,1.4
2002-06-02 00:00:00+00:00,7.9,12.875,17.55,9.4,9.555357,9.75,0.358,0.358375,0.359,0.0,0.04583333,1.1
2002-06-09 00:00:00+00:00,11.1,14.2047615,18.2,9.75,9.935714,10.15,0.356,0.35686904,0.358,0.0,0.11666667,2.4
2002-06-16 00:00:00+00:00,10.0,14.8538685,19.05,10.15,10.348809,10.55,0.355,0.35550594,0.356,0.0,0.06607143,1.5
2002-06-23 00:00:00+00:00,12.15,16.407143,22.05,10.55,10.8023815,11.05,0.353,0.3540119,0.355,0.0,0.08571429,2.5
2002-06-30 00:00:00+00:00,10.2,15.189584,20.7,11.05,11.298809,11.55,0.351,0.35236904,0.353,0.0,0.017857144,0.7
2002-07-07 00:00:00+00:00,11.2,14.606547,18.3,11.55,11.734226,11.9,0.35,0.35064286,0.351,0.0,0.12619048,2.3
2002-07-14 00:00:00+00:00,11.65,15.511012,18.25,11.9,12.089286,12.25,0.348,0.3493631,0.35,0.0,0.0797619,1.1
2002-07-21 00:00:00+00:00,12.25,15.6077385,18.8,12.25,12.453571,12.65,0.347,0.34754762,0.348,0.0,0.061309524,1.5
2002-07-28 00:00:00+00:00,11.9,17.966965,23.3,12.65,12.835713,13.05,0.345,0.34595236,0.347,0.0,0.023809524,0.8
2002-08-04 00:00:00+00:00,13.2,17.956844,22.55,13.05,13.2913685,13.55,0.343,0.34424406,0.345,0.0,0.08869048,1.6
2002-08-11 00:00:00+00:00,13.3,17.454762,20.9,13.55,13.770833,14.0,0.342,0.34260714,0.343,0.0,0.08392857,1.8
2002-08-18 00:00:00+00:00,13.85,19.425894,23.25,14.0,14.195537,14.4,0.34,0.34101787,0.342,0.0,0.005952381,0.6
2002-08-25 00:00:00+00:00,13.4,17.428274,22.45,14.4,14.643749,14.85,0.339,0.33945832,0.34,0.0,0.09940477,3.3
2002-09-01 00:00:00+00:00,13.5,17.587202,22.4,14.85,15.0172615,15.2,0.337,0.33786312,0.339,0.0,0.004761905,0.2
2002-09-08 00:00:00+00:00,13.9,17.078274,20.85,15.2,15.321428,15.45,0.336,0.33636308,0.337,0.0,0.067261904,1.2
2002-09-15 00:00:00+00:00,12.2,16.52262,19.45,15.45,15.543452,15.65,0.334,0.33497024,0.336,0.0,0.108333334,4.5
2002-09-22 00:00:00+00:00,12.65,14.822321,17.35,15.6,15.678273,15.7,0.333,0.33364284,0.334,0.0,0.006547619,0.2
2002-09-29 00:00:00+00:00,9.9,14.000298,17.4,15.7,15.699999,15.7,0.332,0.33241668,0.333,0.0,0.027976189,1.1
2002-10-06 00:00:00+00:00,10.75,14.916071,19.05,15.65,15.654762,15.7,0.331,0.33122024,0.332,0.0,0.0077380957,0.2
2002-10-13 00:00:00+00:00,7.55,11.347917,14.75,15.5,15.588987,15.65,0.33,0.33007145,0.331,0.0,0.10178572,1.7
2002-10-20 00:00:00+00:00,4.35,9.53125,13.85,15.2,15.380654,15.5,0.329,0.3290238,0.33,0.0,0.20714286,3.6
2002-10-27 00:00:00+00:00,4.5,11.180059,14.8,14.85,15.025596,15.2,0.328,0.32810122,0.329,0.0,0.15773809,2.1
2002-11-03 00:00:00+00:00,6.7,11.086309,14.7,14.45,14.642559,14.85,0.327,0.32736307,0.328,0.0,0.16607143,3.5
2002-11-10 00:00:00+00:00,5.3,9.35625,13.1,14.1,14.285118,14.45,0.327,0.327,0.327,0.0,0.2547619,3.4
2002-11-17 00:00:00+00:00,6.8,9.828571,11.9,13.7,13.881548,14.1,0.327,0.327,0.327,0.0,0.12678571,2.1
2002-11-24 00:00:00+00:00,3.7,8.953274,11.95,13.25,13.453273,13.65,0.327,0.32766667,0.328,0.0,0.051190477,1.2
2002-12-01 00:00:00+00:00,6.0,9.041667,11.55,12.85,13.028572,13.25,0.328,0.32892856,0.33,0.0,0.07380952,1.8
2002-12-08 00:00:00+00:00,2.65,6.902381,10.0,12.4,12.62738,12.85,0.33,0.33059525,0.332,0.0,0.046428572,1.8
2002-12-15 00:00:00+00:00,0.9,4.2949405,7.55,11.8,12.116072,12.4,0.332,0.3328274,0.334,0.0,0.045238096,0.6
2002-12-22 00:00:00+00:00,3.55,5.8044643,10.4,11.2,11.49881,11.8,0.334,0.33499998,0.336,0.0,0.13333333,2.9
2002-12-29 00:00:00+00:00,5.05,8.931846,11.7,10.8,10.975595,11.2,0.336,0.3384524,0.341,0.0,0.24166666,3.0
2003-01-05 00:00:00+00:00,0.0,5.08125,11.5,10.4,10.613095,10.8,0.341,0.34985715,0.359,0.0,0.18095239,2.3
2003-01-12 00:00:00+00:00,-1.4,1.4580357,5.55,9.8,10.120833,10.4,0.359,0.36452976,0.368,0.0,0.018452382,0.3
2003-01-19 00:00:00+00:00,3.15,6.6499996,10.3,9.25,9.490477,9.8,0.368,0.37049404,0.372,0.0,0.06666666,1.4
2003-01-26 00:00:00+00:00,2.1,6.6928573,11.75,8.85,9.040178,9.25,0.372,0.3733274,0.375,0.0,0.0797619,1.3
2003-02-02 00:00:00+00:00,-0.25,4.2389884,10.9,8.55,8.711607,8.85,0.375,0.37564284,0.377,0.0,0.08869048,0.8
2003-02-09 00:00:00+00:00,-0.05,4.2791667,9.15,8.1,8.315476,8.55,0.377,0.37764287,0.379,0.0,0.038690478,0.6
2003-02-16 00:00:00+00:00,0.15,3.11875,6.45,7.75,7.9264884,8.1,0.379,0.37935716,0.38,0.0,0.030357143,0.4
2003-02-23 00:00:00+00:00,-0.4,3.2175593,8.7,7.3,7.5258927,7.75,0.38,0.38,0.38,0.0,0.0,0.0
2003-03-02 00:00:00+00:00,3.95,6.565774,9.55,7.05,7.1592264,7.3,0.38,0.38,0.38,0.0,0.03511905,1.5
2003-03-09 00:00:00+00:00,1.65,7.5026784,11.15,6.95,7.00119,7.05,0.38,0.38,0.38,0.0,0.08392857,1.7
2003-03-16 00:00:00+00:00,3.1,6.5901785,11.6,6.95,6.9806547,7.0,0.379,0.3797738,0.38,0.0,0.0011904762,0.1
2003-03-23 00:00:00+00:00,-0.5,5.4761906,9.8,6.95,6.9568453,7.0,0.379,0.379,0.379,0.0,0.0,0.0
2003-03-30 00:00:00+00:00,4.6,7.996131,13.6,6.9,6.9312496,6.95,0.378,0.37823215,0.379,0.0,0.0,0.0
2003-04-06 00:00:00+00:00,1.95,6.7749996,11.65,6.95,7.0065475,7.05,0.377,0.37734523,0.378,0.0,0.045238096,1.6
2003-04-13 00:00:00+00:00,2.4,5.500893,11.25,7.05,7.05,7.05,0.375,0.37620237,0.377,0.0,0.0071428576,0.4
2003-04-20 00:00:00+00:00,6.15,10.208035,14.2,7.05,7.1127973,7.2,0.374,0.37463096,0.375,0.0,0.008333333,0.2
2003-04-27 00:00:00+00:00,6.35,10.454762,15.05,7.2,7.3488092,7.5,0.372,0.37319642,0.374,0.0,0.079166666,1.6
2003-05-04 00:00:00+00:00,8.35,11.898809,15.95,7.5,7.652976,7.8,0.371,0.37151787,0.372,0.0,0.09107143,1.6
2003-05-11 00:00:00+00:00,7.5,11.652381,14.9,7.8,8.018155,8.2,0.369,0.36969644,0.371,0.0,0.012499999,0.5
2003-05-18 00:00:00+00:00,4.8,10.44881,14.85,8.2,8.402381,8.55,0.367,0.36781546,0.369,0.0,0.11726191,1.6
2003-05-25 00:00:00+00:00,8.45,12.621726,16.7,8.55,8.728273,8.9,0.365,0.36602977,0.367,0.0,0.13690476,2.2
2003-06-01 00:00:00+00:00,9.0,14.315476,19.05,8.9,9.104167,9.35,0.363,0.36408335,0.365,0.0,0.054761905,1.7
2003-06-08 00:00:00+00:00,12.25,15.793452,19.25,9.35,9.607142,9.9,0.361,0.3621131,0.363,0.0,0.15238096,2.2
2003-06-15 00:00:00+00:00,11.4,15.87381,19.6,9.9,10.164583,10.45,0.359,0.360125,0.361,0.0,0.011904762,0.7
2003-06-22 00:00:00+00:00,11.35,16.926191,21.85,10.45,10.741369,11.05,0.357,0.35789284,0.359,0.0,0.0375,1.1
2003-06-29 00:00:00+00:00,12.0,16.120237,20.65,11.05,11.325595,11.6,0.355,0.3557619,0.357,0.0,0.14464286,4.7
2003-07-06 00:00:00+00:00,13.45,15.660417,18.4,11.6,11.851786,12.1,0.353,0.35374406,0.355,0.0,0.21607143,1.9
2003-07-13 00:00:00+00:00,13.75,17.806845,22.3,12.1,12.310714,12.55,0.351,0.35189882,0.353,0.0,0.005952381,0.5
2003-07-20 00:00:00+00:00,16.1,19.535715,23.6,12.55,12.827381,13.1,0.349,0.34976786,0.351,0.0,0.06666666,1.4
2003-07-27 00:00:00+00:00,14.05,18.177382,21.55,13.1,13.401786,13.7,0.347,0.34757143,0.349,0.0,0.16190477,2.0
2003-08-03 00:00:00+00:00,13.4,18.05387,20.9,13.7,13.905952,14.1,0.345,0.34572023,0.347,0.0,0.18690476,2.2
2003-08-10 00:00:00+00:00,16.4,20.625298,26.5,14.15,14.360715,14.6,0.343,0.34392858,0.345,0.0,0.0,0.0
2003-08-17 00:00:00+00:00,14.2,18.470535,23.75,14.6,14.896429,15.15,0.341,0.3419881,0.343,0.0,0.0011904762,0.2
2003-08-24 00:00:00+00:00,14.7,19.00506,23.8,15.15,15.37738,15.6,0.339,0.34002978,0.341,0.0,0.004761905,0.2
2003-08-31 00:00:00+00:00,11.7,15.753868,19.05,15.6,15.762797,15.9,0.337,0.33831546,0.339,0.0,0.0071428576,0.2
2003-09-07 00:00:00+00:00,11.35,15.972024,20.45,15.9,15.984225,16.05,0.336,0.33654168,0.337,0.0,0.04464286,2.1
2003-09-14 00:00:00+00:00,11.4,15.592262,19.15,16.05,16.095835,16.15,0.334,0.33494642,0.336,0.0,0.057738096,1.2
2003-09-21 00:00:00+00:00,13.55,18.08393,22.1,16.15,16.168156,16.2,0.333,0.3333869,0.334,0.0,0.0,0.0
2003-09-28 00:00:00+00:00,7.75,13.3369055,21.1,16.2,16.270834,16.3,0.331,0.33167857,0.333,0.0,0.11726191,3.6
2003-10-05 00:00:00+00:00,8.45,13.355357,17.25,16.2,16.230356,16.25,0.33,0.33042264,0.331,0.0,0.01904762,0.3
2003-10-12 00:00:00+00:00,7.25,12.422917,17.2,15.95,16.085415,16.2,0.329,0.32921427,0.33,0.0,0.02857143,0.8
2003-10-19 00:00:00+00:00,9.2,11.086607,13.0,15.7,15.851191,15.95,0.327,0.32789287,0.329,0.0,0.0,0.0
2003-10-26 00:00:00+00:00,4.55,7.6002975,10.35,15.3,15.536013,15.7,0.326,0.32679763,0.327,0.0,0.079166666,0.8
2003-11-02 00:00:00+00:00,4.5,8.311607,12.15,14.8,15.065774,15.3,0.325,0.32580358,0.326,0.0,0.16130953,2.0
2003-11-09 00:00:00+00:00,6.65,10.005953,13.1,14.35,14.566072,14.8,0.324,0.32485712,0.325,0.0,0.0035714288,0.3
2003-11-16 00:00:00+00:00,5.5,9.4898815,12.25,13.95,14.142559,14.35,0.324,0.324,0.324,0.0,0.03511905,0.8
2003-11-23 00:00:00+00:00,4.3,10.170238,14.1,13.6,13.757441,13.95,0.323,0.32302383,0.324,0.0,0.35416666,2.0
2003-11-30 00:00:00+00:00,1.35,7.2785716,10.9,13.15,13.376786,13.6,0.322,0.32283932,0.323,0.0,0.10654762,2.4
2003-12-07 00:00:00+00:00,3.05,7.875595,11.05,12.7,12.912203,13.15,0.322,0.322,0.322,0.0,0.04583333,0.9
2003-12-14 00:00:00+00:00,2.75,6.950595,12.8,12.15,12.422321,12.7,0.322,0.322,0.322,0.0,0.10952381,1.1
2003-12-21 00:00:00+00:00,1.0,4.8872023,10.75,11.6,11.891667,12.15,0.322,0.32241073,0.323,0.0,0.06488095,2.9
2003-12-28 00:00:00+00:00,0.65,6.2464285,9.75,11.05,11.326786,11.6,0.323,0.32302383,0.324,0.0,0.07619048,1.4
2004-01-04 00:00:00+00:00,0.6,3.3505955,6.35,10.5,10.797024,11.05,0.324,0.3243155,0.325,0.0,0.12261905,1.7
2004-01-11 00:00:00+00:00,3.3,7.143452,10.35,10.0,10.228273,10.5,0.325,0.32680357,0.329,0.0,0.13035715,2.1
2004-01-18 00:00:00+00:00,1.6,4.8473215,8.65,9.55,9.777083,10.0,0.329,0.33088097,0.333,0.0,0.07797619,1.1
2004-01-25 00:00:00+00:00,1.15,6.2562504,9.95,9.15,9.356845,9.55,0.333,0.33580357,0.339,0.0,0.10119048,1.1
2004-02-01 00:00:00+00:00,-0.95,4.1333337,10.75,8.7,8.955953,9.15,0.339,0.34122023,0.344,0.0,0.15714285,2.0
2004-02-08 00:00:00+00:00,2.45,9.403572,14.15,8.5,8.5901785,8.7,0.344,0.34789285,0.352,0.0,0.12380952,1.9
2004-02-15 00:00:00+00:00,-0.2,6.059226,9.8,8.35,8.427977,8.5,0.352,0.35479167,0.357,0.0,0.014880952,0.4
2004-02-22 00:00:00+00:00,1.6,4.3988094,7.35,8.1,8.238393,8.35,0.357,0.3594107,0.361,0.0,0.011309524,0.3
2004-02-29 00:00:00+00:00,-1.7,1.6696428,4.85,7.75,7.9398813,8.1,0.361,0.36195236,0.363,0.0,0.054166667,0.6
2004-03-07 00:00:00+00:00,-0.4,4.139881,7.3,7.3,7.504464,7.75,0.363,0.36333928,0.364,0.0,0.039285712,0.6
2004-03-14 00:00:00+00:00,1.5,4.9116073,10.25,7.0,7.154464,7.3,0.364,0.364,0.364,0.0,0.06428572,0.8
2004-03-21 00:00:00+00:00,5.75,9.675595,13.5,6.95,6.9708333,7.0,0.364,0.36442262,0.365,0.0,0.06845238,1.3
2004-03-28 00:00:00+00:00,2.65,5.8505955,9.5,7.0,7.0,7.0,0.365,0.365,0.365,0.0,0.029761905,1.0
2004-04-04 00:00:00+00:00,5.6,9.055952,12.55,7.0,7.0413694,7.1,0.365,0.365,0.365,0.0,0.06904762,1.0
2004-04-11 00:00:00+00:00,3.9,6.7568455,10.55,7.1,7.1660714,7.2,0.364,0.3645119,0.365,0.0,0.06607143,1.1
2004-04-18 00:00:00+00:00,1.8,8.95625,14.05,7.2,7.2788687,7.35,0.364,0.364,0.364,0.0,0.042261906,0.7
2004-04-25 00:00:00+00:00,4.9,10.110714,15.45,7.35,7.4535713,7.55,0.363,0.36379167,0.364,0.0,0.017261906,0.5
2004-05-02 00:00:00+00:00,7.35,10.633036,14.45,7.6,7.7375,7.9,0.363,0.363,0.363,0.0,0.1125,1.0
2004-05-09 00:00:00+00:00,5.85,9.669642,12.4,7.9,8.042262,8.15,0.362,0.36251786,0.363,0.0,0.20416667,2.3
2004-05-16 00:00:00+00:00,7.45,11.169345,15.65,8.15,8.300893,8.45,0.362,0.362,0.362,0.0,0.0005952381,0.1
2004-05-23 00:00:00+00:00,7.2,12.159524,19.65,8.45,8.648809,8.85,0.361,0.36120832,0.362,0.0,0.013095238,0.7
2004-05-30 00:00:00+00:00,7.65,12.259524,17.1,8.85,9.053273,9.25,0.36,0.3603274,0.361,0.0,0.03392857,0.7
2004-06-06 00:00:00+00:00,10.05,14.396726,18.85,9.25,9.45,9.7,0.359,0.35922617,0.36,0.0,0.07380953,0.8
2004-06-13 00:00:00+00:00,11.65,17.085714,21.5,9.7,9.961905,10.25,0.357,0.35785118,0.359,0.0,0.0071428576,0.3
2004-06-20 00:00:00+00:00,8.85,15.099703,22.75,10.25,10.580953,10.9,0.356,0.3563631,0.357,0.0,0.092857145,2.4
2004-06-27 00:00:00+00:00,9.25,14.542857,20.6,10.9,11.101786,11.3,0.354,0.35475594,0.356,0.0,0.22738096,3.7
2004-07-04 00:00:00+00:00,11.45,15.634227,19.9,11.3,11.511905,11.7,0.352,0.3533095,0.354,0.0,0.0702381,2.9
2004-07-11 00:00:00+00:00,9.9,14.37262,18.05,11.7,11.923809,12.1,0.351,0.3515714,0.352,0.0,0.18630952,4.2
2004-07-18 00:00:00+00:00,12.45,16.273512,20.7,12.1,12.284524,12.45,0.35,0.35023808,0.351,0.0,0.15654762,2.4
2004-07-25 00:00:00+00:00,12.65,17.369644,20.95,12.45,12.660118,12.9,0.348,0.3487143,0.35,0.0,0.07559524,3.1
2004-08-01 00:00:00+00:00,14.25,17.825596,21.8,12.9,13.110119,13.35,0.346,0.34729168,0.348,0.0,0.013690476,0.7
2004-08-08 00:00:00+00:00,15.15,18.890476,23.1,13.35,13.602083,13.85,0.345,0.34563094,0.346,0.0,0.019642858,0.5
2004-08-15 00:00:00+00:00,15.65,19.125,22.3,13.85,14.127084,14.4,0.344,0.34430954,0.345,0.0,0.22916667,5.7
2004-08-22 00:00:00+00:00,12.75,17.508928,21.45,14.4,14.605059,14.8,0.342,0.34280953,0.344,0.0,0.17440476,3.3
2004-08-29 00:00:00+00:00,12.1,16.349106,20.1,14.8,14.952977,15.1,0.341,0.34156546,0.342,0.0,0.17380953,2.7
2004-09-05 00:00:00+00:00,11.3,16.754166,21.75,15.1,15.158036,15.25,0.34,0.34041667,0.341,0.0,0.0011904762,0.1
2004-09-12 00:00:00+00:00,11.9,17.222322,20.85,15.25,15.342262,15.45,0.339,0.33923808,0.34,0.0,0.016666668,0.7
2004-09-19 00:00:00+00:00,9.95,15.040178,20.15,15.45,15.521726,15.55,0.337,0.33807144,0.339,0.0,0.09047619,1.9
2004-09-26 00:00:00+00:00,7.9,13.387202,17.55,15.55,15.578275,15.6,0.337,0.337,0.337,0.0,0.08452381,1.5
2004-10-03 00:00:00+00:00,10.65,14.35,17.75,15.45,15.501488,15.55,0.336,0.33602977,0.337,0.0,0.08154762,1.7
2004-10-10 00:00:00+00:00,8.45,12.360119,16.8,15.3,15.394048,15.45,0.335,0.33509526,0.336,0.0,0.03095238,1.8
2004-10-17 00:00:00+00:00,7.35,10.889583,14.8,15.05,15.195833,15.3,0.334,0.33419642,0.335,0.0,0.17380953,2.4
2004-10-24 00:00:00+00:00,6.6,13.145535,16.7,14.75,14.902678,15.05,0.333,0.33354762,0.334,0.0,0.12142857,2.3
2004-10-31 00:00:00+00:00,7.1,11.74375,14.4,14.55,14.648809,14.75,0.333,0.333,0.333,0.0,0.03333333,1.5
2004-11-07 00:00:00+00:00,7.65,10.405655,13.2,14.25,14.40625,14.55,0.332,0.33235714,0.333,0.0,0.038690478,0.9
2004-11-14 00:00:00+00:00,4.65,8.636012,12.0,13.9,14.092262,14.25,0.332,0.332,0.332,0.0,0.055952385,1.0
2004-11-21 00:00:00+00:00,-0.15,6.6848216,12.95,13.45,13.679463,13.9,0.332,0.332,0.332,0.0,0.10297619,1.9
2004-11-28 00:00:00+00:00,4.8,8.716072,11.9,12.9,13.165774,13.45,0.331,0.33104762,0.332,0.0,0.01547619,0.6
2004-12-05 00:00:00+00:00,1.6,6.157738,9.85,12.4,12.655952,12.9,0.331,0.331,0.331,0.0,0.0029761905,0.1
2004-12-12 00:00:00+00:00,2.15,6.111905,9.65,11.85,12.112203,12.4,0.331,0.331,0.331,0.0,0.0,0.0
2004-12-19 00:00:00+00:00,2.8,6.1803575,10.15,11.35,11.579464,11.85,0.331,0.331,0.331,0.0,0.033928573,0.6
2004-12-26 00:00:00+00:00,-1.15,5.276786,11.6,10.8,11.065774,11.35,0.331,0.331,0.331,0.0,0.05059524,1.0
2005-01-02 00:00:00+00:00,1.6,6.1997027,10.4,10.3,10.551488,10.8,0.331,0.331,0.331,0.0,0.067261904,2.8
2005-01-09 00:00:00+00:00,3.6,7.7443457,11.65,9.95,10.105655,10.3,0.331,0.331,0.331,0.0,0.017857144,0.5
2005-01-16 00:00:00+00:00,-0.45,6.7925596,11.45,9.65,9.789286,9.9,0.331,0.331,0.331,0.0,0.01904762,0.7
2005-01-23 00:00:00+00:00,2.3,5.83125,11.05,9.35,9.4875,9.65,0.331,0.331,0.331,0.0,0.071428575,1.3
2005-01-30 00:00:00+00:00,1.8,4.492262,7.05,8.9,9.126786,9.3,0.331,0.331,0.331,0.0,0.030952383,0.5
2005-02-06 00:00:00+00:00,3.8,6.013988,9.15,8.6,8.749702,8.9,0.331,0.3319226,0.332,0.0,0.004761905,0.2
2005-02-13 00:00:00+00:00,2.9,6.236607,11.05,8.3,8.450297,8.6,0.332,0.332,0.332,0.0,0.111904755,1.7
2005-02-20 00:00:00+00:00,0.8,3.5610118,6.8,8.05,8.185417,8.3,0.332,0.3325238,0.333,0.0,0.07202381,0.6
2005-02-27 00:00:00+00:00,-0.4,2.0193453,5.0,7.65,7.8383927,8.05,0.333,0.33357143,0.334,0.0,0.08035714,0.8
2005-03-06 00:00:00+00:00,-2.3,1.5366071,5.0,7.15,7.3964286,7.65,0.334,0.3353274,0.336,0.0,0.092857145,1.1
2005-03-13 00:00:00+00:00,-0.35,4.470238,8.8,6.8,6.951488,7.15,0.336,0.33733928,0.338,0.0,0.036904763,0.7
2005-03-20 00:00:00+00:00,-0.1,8.763095,15.8,6.65,6.686607,6.8,0.338,0.33932143,0.34,0.0,0.019642856,0.7
2005-03-27 00:00:00+00:00,5.95,8.616369,12.05,6.65,6.7250004,6.8,0.34,0.34064287,0.341,0.0,0.0875,1.1
2005-04-03 00:00:00+00:00,4.2,8.189881,13.7,6.8,6.8806543,6.95,0.341,0.34169048,0.342,0.0,0.02857143,0.6
2005-04-10 00:00:00+00:00,1.3,7.329762,11.3,6.95,7.045238,7.1,0.342,0.34243453,0.343,0.0,0.067857146,0.8
2005-04-17 00:00:00+00:00,4.05,8.242262,13.3,7.1,7.165774,7.25,0.343,0.343,0.343,0.0,0.13095239,1.4
2005-04-24 00:00:00+00:00,5.1,8.410119,12.05,7.25,7.296131,7.35,0.343,0.34330356,0.344,0.0,0.043452382,0.8
2005-05-01 00:00:00+00:00,6.15,11.273809,19.75,7.35,7.4770837,7.6,0.344,0.344,0.344,0.0,0.029761905,0.6
2005-05-08 00:00:00+00:00,4.95,10.374702,16.1,7.6,7.7934527,7.95,0.344,0.344,0.344,0.0,0.14345238,2.5
2005-05-15 00:00:00+00:00,4.95,8.390774,12.05,8.0,8.097917,8.2,0.343,0.3430714,0.344,0.0,0.010714286,0.2
2005-05-22 00:00:00+00:00,4.65,11.017858,15.95,8.2,8.299108,8.4,0.343,0.343,0.343,0.0,0.043452382,1.3
2005-05-29 00:00:00+00:00,8.95,14.660714,20.75,8.4,8.589583,8.8,0.342,0.34208333,0.343,0.0,0.008928572,0.3
2005-06-05 00:00:00+00:00,9.4,13.465774,18.2,8.8,9.050595,9.3,0.341,0.34136903,0.342,0.0,0.14940476,2.1
2005-06-12 00:00:00+00:00,7.8,11.579167,16.55,9.3,9.517559,9.7,0.34,0.34051785,0.341,0.0,0.01607143,0.8
2005-06-19 00:00:00+00:00,7.65,16.03244,22.8,9.7,9.902381,10.1,0.339,0.33963093,0.34,0.0,0.014880952,0.8
2005-06-26 00:00:00+00:00,12.35,17.510416,22.4,10.1,10.400596,10.7,0.338,0.338375,0.339,0.0,0.03988095,1.9
2005-07-03 00:00:00+00:00,11.45,16.712202,20.7,10.75,11.030952,11.35,0.336,0.33698216,0.338,0.0,0.13928571,3.1
2005-07-10 00:00:00+00:00,11.4,15.349107,20.05,11.35,11.59494,11.85,0.335,0.3359286,0.336,0.0,0.40654764,4.0
2005-07-17 00:00:00+00:00,13.55,17.437202,22.3,11.85,12.08244,12.35,0.334,0.3349524,0.335,0.0,0.06309524,2.1
2005-07-24 00:00:00+00:00,12.25,16.374107,22.5,12.35,12.615179,12.85,0.333,0.3339464,0.334,0.0,0.04107143,1.7
2005-07-31 00:00:00+00:00,12.15,16.163393,20.45,12.85,13.052679,13.25,0.333,0.333,0.333,0.0,0.14464286,1.2
2005-08-07 00:00:00+00:00,11.7,15.852977,19.7,13.25,13.405357,13.55,0.332,0.3322083,0.333,0.0,0.03511905,0.7
2005-08-14 00:00:00+00:00,11.3,15.457143,19.4,13.55,13.694941,13.8,0.331,0.33123213,0.332,0.0,0.12023809,3.6
2005-08-21 00:00:00+00:00,13.6,16.41369,20.3,13.8,13.944643,14.1,0.33,0.33034524,0.331,0.0,0.027380953,0.7
2005-08-28 00:00:00+00:00,11.1,15.75506,20.95,14.1,14.198512,14.3,0.329,0.32950598,0.33,0.0,0.104166664,1.9
2005-09-04 00:00:00+00:00,14.4,18.538988,22.35,14.3,14.419642,14.55,0.328,0.32851785,0.329,0.0,0.023214286,0.7
2005-09-11 00:00:00+00:00,15.65,18.66994,22.15,14.55,14.736309,14.9,0.327,0.32753572,0.328,0.0,0.027976193,1.0
